productname,productbrand,price,numimages,description,primarycolor,sexuality,adult,disc_len,name_len
Marks & Spencer Black Solid Non-Wired Lightly Padded Plunge Bra T337158,Marks & Spencer,1999,4,Black solid full-coverage Plunge bra Lightly Padded and Non-Wired seamless cups Regular straps and back closure Back style: Regular Feature: All Day Comfort,Red,1,1,23,11
U.S. Polo Assn. Kids Girls Black Solid  Open Front Jacket,U.S. Polo Assn. Kids,1499,6,"\"Black solid Open Front jacket",has a spread collar,1,0,5,11
Sergio Tacchini Men Black Sneakers,Sergio Tacchini,3699,5,"\"A pair of round-toe black sneakers",has regular styling,0,1,6,5
Basics Men Green & Grey Slim Fit Checked Casual Shirt,Basics,1399,5,"\"Green and Grey checked casual shirt",has a spread collar,0,1,6,10
Gini and Jony Boys Red Printed Polo Collar T-shirt,Gini and Jony,489,5,"\"Red printed T-shirt",has a polo collar,0,0,3,9
Natilene Girls Navy & White Regular Fit Striped Trousers,Natilene,764,4,"\"Navy and white striped mid-rise trousers",has slip-on closure,1,0,6,9
Nauti Nati Boys White & Yellow Striped T-shirt with Shorts,Nauti Nati,587,4,"\"This clothing set consists of t-shirt and shortsWhite",yellow and navy blue striped t-shirt with applique detail,0,0,8,10
FURO by Red Chief Men Blue Mesh Walking Shoes,FURO by Red Chief,1895,5,"\"A pair of blue walking sports shoes",has regular styling,0,1,7,9
STREET 9 Women White & Navy Blue Striped A-Line Dress,STREET 9,599,5,"\"White and Navy Blue striped woven A-line dress with ruffles",has shoulder straps,1,1,10,10
Puma Unisex Black Nrgy Comet SoftFoam+ Running Shoes,Puma,3149,7,"\"Special Technology:SoftFoam+ sockliner: Flexible sock collar with cushioned foot bed provides optimal step-in comfortNRGY: Foam beads offer superior cushioning from heel to toe and resiliency in all conditions to help you power through your runProduct Design Details:A pair of black running sports shoes",has regular styling,2,1,43,8
SG YUVRAJ Boys White Solid Kurta with Pyjamas,SG YUVRAJ,879,5,"\"White solid kurta with pyjamasWhite pathani knee length kurta",has a shirt collar,0,0,9,8
Louis Philippe Red Solid Bow Tie,Louis Philippe,734,4,Red solid bow tie,Red,0,1,4,6
Calvin Klein Jeans Men Navy Blue Solid Track Pants,Calvin Klein Jeans,4799,5,"\"A pair of navy blue solid track pants",has an elasticated waistband with belt loops,0,1,8,9
Belle Fille Women Mustard Yellow Solid Top,Belle Fille,599,5,"\"Mustard yellow solid woven regular top",has a V-neck,1,1,6,7
ONLY Women Black Self Design Cardigan,ONLY,699,5,"\"Black self design cardigan",has a round-neck,1,1,4,6
612 league Girls Navy Blue & White Printed Regular Fit Denim Shorts,612 league,602,4,"\"Navy Blue and White printed mid-rise denim shorts",has 5 pockets,1,0,8,12
DKNY Unisex Purple Cabin Trolley Bag,DKNY,22100,6,"\"Purple textured cabin trolley bag",secured with a TSA lockOne handle on the top and one on the side,2,1,5,6
HARBORNBAY Women Navy Blue & White Striped Round Neck T-shirt,HARBORNBAY,395,5,"\"Navy Blue and White striped T-shirt with embroidered detail",has a round neck,1,1,9,10
Soumya Pink Printed Double Bed Cover with 2 Pillow Covers,Soumya,1775,4,Set content: 1 Bedsheet with 2 pillow covers Colour: Pink Size: Double bed ( queen size)Pattern: Geometric Thread Count: 180 to 249,Pink,2,1,23,10
OddCroft Multicoloured Chevron Print Ceramic Flower Vase,OddCroft,768,4,Set Content: 1 flower vase  Colour: Multicoloured Pattern: Chevron Shape: Cylindrical Material: Ceramic,Red,2,1,15,7
SEJ by Nisha Gupta Multicoloured Printed Table Runner,SEJ by Nisha Gupta,599,3,Set content: One runnerType: Table runnerColour: multicolouredFabric: PolycottonShape: RectangularPattern: FloralDisclaimer : Product colour may slightly vary due to photographic lighting sources or your monitor settings.,Red,2,1,25,8
Titan Bandhan Unisex White Analogue watch NL15842481SL01,Titan,3996,5,"\"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset TimeStrap style: Brown regular","leather strap with a tang closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case\"",2,1,15,7
Veni Vidi Vici Women Mustard Yellow Bodycon Dress,Veni Vidi Vici,756,5,"\"Mustard yellow solid knitted bodycon dress",has shoulder straps,1,1,6,8
CODE by Lifestyle Men Lime Green Regular Fit Solid Formal Shirt,CODE by Lifestyle,749,4,"\"Lime Green solid formal shirt",has a mandarin collar,0,1,5,11
Kazo Women Black & White Checked Top,Kazo,995,5,"\"Black and white checked woven regular top",has an one shoulder,1,1,7,7
Dennmarks Multicoloured Printed Wooden Serving Tray,Dennmarks,1130,5,Set content: 1 serving trayColour: Brown and multicoloured Pattern: Printed Material: Wood,Red,2,1,13,6
Ecko Unltd Men Teal Blue Slim Fit Printed Casual Shirt,Ecko Unltd,699,5,"\"Teal blue printed casual shirt",has a mandarin collar,0,1,5,10
Van Heusen Navy Single-Breasted Slim Formal Suit,Van Heusen,10999,6,"\"Navy formal suitNavy woven formal blazer in a patterned weave",has a notched lapel with a metallic detail,0,1,10,7
ELLE Peach-Coloured Solid Shoulder Bag,ELLE,1437,5,"\"Peach-Coloured solid shoulder bag",has a zip closure2 main compartments,1,1,4,5
Newport Men Green Printed Round Neck T-shirt,Newport,399,5,"\"Green and Grey printed T-shirt",has a round neck,0,1,5,7
Roadster Men Blue Skinny Fit Mid-Rise Acid Wash Clean Look Stretchable Jeans,Roadster,679,5,"\"Blue medium wash 5-pocket acid wash mid-rise jeans",clean look,0,1,8,12
HERE&NOW Women Black Bootcut Mid-Rise Clean Look Stretchable Jeans,HERE&NOW,499,4,"\"Black dark wash 5-pocket mid-rise jeans",clean look,1,1,6,9
Mast & Harbour Women Black & Green Printed Open Front Jacket With Detachable Hood,Mast & Harbour,1199,8,"\"Black and Green printed open front jacket",has a detachable hood,1,1,7,14
YASH GALLERY Women Black Floral Print A-Line Dress,YASH GALLERY,923,5,"\"Black printed woven A-line dress with attached necklace",has a round neck,1,1,8,8
Blissta Women Magenta & Golden Printed Fusion A-Line Kurta,Blissta,1298,4,"\"Magenta and Golden printed fusion?A-line kurta",has a mandarin collar,1,1,6,9
Priyaasi Set of 4 Pink Gold-Plated Stone-Studded Handcrafted Bangles,Priyaasi,475,5,"\"Set of four pink gold-plated handcrafted banglesEach has stone-studded and silk-threaded detail","slip-on closure\"",1,1,12,9
Puma Men Navy Blue Flyer Runner Engineer Running Shoes,Puma,2924,5,"\"Puma Men Navy Blue Flyer Runner Engineer Running Shoes:Enjoy the ride with the NRGY Neko. The supportive yet breathable knitted upper offers a flexible fit for everyday performance. NRGY Beads in the midsole combine with a cushioned SoftFoam+ foot bed for high rebound and optimal step-in comfort for every step of your run. The NRGY Neko combines performance and style for a running shoe that's ready for just about anything.FEATURES + BENEFITSNRGY: PUMA's foam cushioning beadsoffer heel to toe resiliency in all conditions and superior cushioningSOFTFOAM+: Cushioned foot bed gives you seamless ride and optimal comfort from heel to toeDeatils:A pair of navy blue running sports shoes",has regular styling,0,1,107,9
Hummel Women Blue Solid Skinny-Fit Tights,hummel,719,5,"\"Blue solid skinny-fit tights","has an elasticated waistband.\"",1,1,4,6
Indian Terrain Men Grey & Burgundy Slim Fit Checked Smart Casual Shirt,Indian Terrain,1034,6,"\"Grey and burgundy checked smart casual shirt",has a spread collar,0,1,7,12
BIANCA Peach-Coloured Solid 1700 GSM Bath Rug,BIANCA,471,4,Set contains: 1 Bath RugColor: PurpleGSM: 1700 GSMShape: Rectangular,Red,2,1,9,7
Indian Terrain Men Navy Blue Chiseled Slim Fit Solid Casual Shirt,Indian Terrain,799,5,"\"Navy blue solid casual shirt",has a spread collar,0,1,5,11
Lavie Olive Green Solid Sling Bag,Lavie,1364,6,"\"Olive Green solid sling bag",has a button closure1 main compartment,1,1,5,6
AURELIA Women Pink & Navy Blue Regular Fit Striped Cropped Trousers,AURELIA,439,5,"\"Pink and navy blue striped mid-rise cropped trousers","slip-on closure\"",1,1,8,11
AURELIA Women Blue Printed Straight Chambray Kurta,AURELIA,679,5,"\"Blue printed straight chambray kurta",has a mandarin collar,1,1,5,7
Saral Home Pink & Maroon Striped Microfibre Runner,Saral Home,1199,4,Set content: One runner Colour: Pink and maroonFabric: Polyester Shape: Rectangular Pattern: StripedFeature: Anti-skid,Pink,2,1,14,8
AURELIA Women Sliver Solid Churidar Length Leggings,AURELIA,699,5,"\"Silver solid knitted churidar length leggings","has an elasticated waistband with slip-on detail\"",1,1,6,7
WROGN Men White & Black Colourblocked Slim Fit Polo Collar T-shirt,WROGN,1039,5,"\"White and Black colourblocked T-shirt",has a polo collar,0,1,5,11
WROGN Men Cream & Navy Blue Striped Slim Fit Henley Neck T-shirt,WROGN,599,5,"\"Cream & navy blue striped T-shirt",has a Henley neck,0,1,6,12
Bamboo Tree Jewels Gold-Toned & Green Classic Drop Earrings,Bamboo Tree Jewels,674,4,Gold-toned and green handcrafted classic earringsSecured with a post and back closure,Green,1,1,12,9
W Women Grey & Navy Blue Printed A-Line Layered Kurta,W,1999,6,"\"Navy blue printed kurta",has a key hole neck,1,1,4,10
Fastrack Men Beige & Brown Striped Belt,Fastrack,477,3,Beige and Brown striped beltReversible: NoStretchable: NoSecured with a tang closureWarranty: 6 monthsWarranty provided by brand/manufacturer,Brown,0,1,16,7
Z-ZOOM Women Purple Oversized Sunglasses 55141,Z-ZOOM,1247,5,Lens colour: PurpleLens feature: Regular LensFrame material: MetalFrame style: Full RimBest suited for: Oval face shapeComes in a Z-ZOOM coverWarranty: 2 yearsWarranty provided by brand/manufacturer,Purple,1,1,25,6
Biba Women Rust Brown & Navy Blue Printed Straight Kurta,Biba,1299,5,"\"Rust brown and Navy Blue printed straight kurta",has a boat neck,1,1,8,10
Ed Hardy Men Grey & Navy Blue Slim Fit Checked Casual Shirt,Ed Hardy,1349,5,"\"Grey and navy blue checked casual shirt",has a spread collar,0,1,7,12
U.S. Polo Assn. Kids Boys Orange Printed Hooded Sweatshirt,U.S. Polo Assn. Kids,999,5,"\"Orange printed sweatshirt",has a round neck,0,0,3,9
RUGSMITH Blue Premium Floral Pattern Rug,RUGSMITH,1119,3,Content: One Runner Colour: Blue Fabric: Polyamide nylon Shape: RectangularPattern: Printed Features: Anti-Skid,Blue,2,1,13,6
U.S. Polo Assn. Kids Boys Coral Orange Solid Polo Collar T-shirt,U.S. Polo Assn. Kids,699,3,"\"Coral orange solid T-shirt",has a polo collar,0,0,4,11
ADIDAS Originals Men Black LXCON 94 Sneakers,ADIDAS Originals,7199,7,Special technologiesLace closure; Eyestay collar tube for even pressure distribution across the footMesh upper with leather overlaysTextile lining; Rubber outsole; Stabilising Torsion SystemAdiprene cushioning; Moulded EVA midsoleSoft and lightweight feelProduct design details?Main material: Leather and textile upper / Rubber outsole?Brand colour: Core Black / Grey Six / Solar RedWarranty: 3 monthsWarranty provided by brand/manufacturerAbout ADIDAS Originals  LXCON 94 Sneakers The Lexicon launched in the mid '90s to give structured support and stability to serious runners. These shoes bring back the retro-tech look with the same lightweight mesh upper and textured suede 3-Stripes as the 1994 version. The translucent tube that runs through the eyestay and collar for pressure distribution adds an authentic detail from the archive design.,Black,0,1,118,7
SHOWOFF Men Tan Brown Solid Biker Jacket,SHOWOFF,3698,5,"\"Tan brown solid jacket",has a lapel collar,0,1,4,7
Ira Soleil Women White Printed Knitted A-Line Kurta,Ira Soleil,1119,4,"\"White printed knitted A-line kurta",has a mandarin collar,1,1,5,8
Flying Machine Boys Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Flying Machine,1299,3,"\"Blue medium wash 5-pocket mid-rise jeans",clean look,0,0,6,11
Marks & Spencer Girls Mustard Yellow Printed Round Neck T-shirt,Marks & Spencer,699,4,"\"Mustard yellow printed T-shirt",has a round neck,1,0,4,10
Barbie by Many Frocks & Girls Pink & Blue Fit and Flare Dress,Barbie by Many Frocks &,1424,3,"\"Pink and Blue colourblocked woven fit and flare dress",has a round neck,1,0,9,13
EthnoVogue Yellow & Pink Organza Made To Measure Solid Saree With Blouse,EthnoVogue,3505,6,"\"Design Details:Yellow and Pink solid saree and has an embellished borderYellow and Pink embroidered blouse",lightly padded on the bust,1,1,15,12
Inc 5 Women Navy Blue Solid Open Toe Flats,Inc 5,591,5,"\"A pair of navy blue open-toed flats",has regular styling,1,1,7,9
GAP Boy's White & Maroon Colorblock Logo Polo T-Shirt,GAP,1299,4,Soft knit.Short sleeves?Spread collarButton front.Assorted graphics at chest.Assorted allover colorblocking.,White,0,0,10,9
Pepe Jeans Girls White & Pink Solid Pure Cotton Round Neck T-shirt with Striped Detail,Pepe Jeans,699,3,"\"White and pink solid Tshirt with striped detailRegular lengthRound neckShort regular sleevesKnitted cotton fabricFashion trends come and go",but a few manage to break the cycle and earn wardrobe-essential status. A basic,1,0,18,15
Marks & Spencer Girls Charcoal Grey Printed Round Neck T-shirt,Marks & Spencer,799,4,"\"Charcoal grey",peach-coloured and blue printed T-shirt,1,0,2,10
Puma Men Black & Orange Spirit II FG Football Shoes,Puma,2449,7,"\"About the shoeThe PUMA SPIRIT II is a boot engineered for value. It combines lightweight",comfort and longevity by using a soft,0,1,15,10
Qurvii Plus Size Women Maroon  White Regular Fit Striped Casual Shirt,Qurvii,2500,5,"\"Maroon and White striped casual shirt",has a spread collar,1,1,6,12
MISH Women Black Accordian Pleated Wide Leg Cropped Palazzos,MISH,1499,5,"\"A pair of Black accordian pleated wide leg fit cropped palazzos",sheer with full lining,1,1,11,9
Pepe Jeans Boys Blue Straight Fit Mid-Rise Clean Look Stretchable Jeans,Pepe Jeans,749,5,"\"Blue medium wash 5-pocket mid-rise jeans",clean look,0,0,6,11
Peter England Men Blue Checked Slim Fit Formal Shirt,Peter England,884,6,"\"Blue checked formal shirt",has a spread collar,0,1,4,9
FabSeasons Unisex Grey Self Design Ascot Cap,FabSeasons,349,5,Grey self-design cap and has a visor,Grey,2,1,7,7
Alcis Women Solid BlueTrack Pants,Alcis,649,5,"\"Blue solid track pants",has an elasticated waistband with a drawstring closure,1,1,4,5
Pepe Jeans Boys Blue Regular Fit Printed Casual Shirt,Pepe Jeans,699,4,"\"Blue printed casual shirt",has a spread collar,0,0,4,9
Ira Soleil Women Pink Solid Cropped Bardot Top,Ira Soleil,699,4,"\"Pink solid woven cropped bardot top with lace detail",has an off-shoulder neck,1,1,9,8
Studio Voylla Silver-Toned Drop Earrings,Studio Voylla,449,4,Silver-Toned  Earrings and silver-plated Secured with a post and back,Silver,1,1,11,5
Flying Machine Women Navy Blue Regular Fit Mid-Rise Clean Look Stretchable Jeans,Flying Machine,719,7,"\"Navy blue dark wash 3-pocket mid-rise stretchable jeans",clean look,1,1,8,12
Vero Moda Women Black & White Checked Top,Vero Moda,2299,6,"\"Black and White checked knitted regular top",has a high neck,1,1,7,8
Raymond Men Blue Regular Fit Self Design Formal Shirt,Raymond,1154,5,"\"Blue self-design formal shirt",has a spread collar,0,1,4,9
Campus Sutra Men Blue & Black Standard Regular Fit Checked Casual Shirt,Campus Sutra,449,5,"\"Blue and black checked casual shirt",has a spread collar,0,1,6,12
Difference of Opinion Men Grey Printed Round Neck T-shirt,Difference of Opinion,499,5,"\"Grey printed T-shirt",has a round neck,0,1,3,9
Campus Sutra Men Blue & White Standard Regular Fit Dyed Casual Shirt,Campus Sutra,599,5,"\"Blue and white dyed casual shirt",has a spread collar,0,1,6,12
Park Avenue Women Blue Solid Shirt Style Top,Park Avenue,503,5,"\"Blue solid shirt style top",has a shirt collar,1,1,5,8
PARFAIT Plus Size Pink  Grey Printed Underwired Lightly Padded Balconette Bra 6901,PARFAIT,1609,2,Pink and grey printed full-coverage Balconette braLightly Padded and Underwired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort,Red,1,1,23,13
Zippo Men Original Blue Tourquoise Edt 50 ml,Zippo,2900,2,"\"Notes:The top note of this fragrance comprises bergamot",grapefruit,0,1,8,8
Next Look Men Purple Slim Fit Solid Formal Shirt,Next Look,599,5,"\"Purple solid formal shirt",has a spread collar,0,1,4,9
Park Avenue Men Black Solid Polo Collar T-shirt,Park Avenue,734,5,"\"Black solid T-shirt",has a polo collar,0,1,3,8
Park Avenue Men Blue Solid Regular-Fit Single-Breasted Suit,Park Avenue,6299,5,"\"Blue solid formal suitBlue solid regular-fit blazer",has a notched lapel,0,1,7,8
SEJ by Nisha Gupta Mustard & Grey Printed Table Runner,SEJ by Nisha Gupta,599,3,Set content: One runner Type: Table runner Colour: Mustard and grey Fabric: Polycotton Shape: Rectangular Pattern: Floral Disclaimer : Product colour may slightly vary due to photographic lighting sources or your monitor settings.,Grey,2,1,33,10
SHISEIDO 205 Pixel Pink VisionAiry Gel Lipstick 1.6 g,SHISEIDO,2125,4,"\"Shade Number : 205Shade Name: Pixel PinkWhat it is:Using revolutionary Triple Gel Technology",this breakthrough formula allows high levels of pigment to converge with water for cushiony,1,1,13,9
